WineName,AvgScore,ScoreCount,Light,Smooth,Dry,Soft
Stefano Farina Barolo,4.1,888,63.1715,78.5285,0,80
E. Guigal Châteauneuf-Du-Pape,4.1,16451,80,37.789,4.325,42.4336
Guenoc Cabernet Sauvignon,3.8,21,80,64.9456,0,40
Renato Ratti Barolo Marcenasco,4.2,22492,60.3544,72.4501,3.25683,77.1274
Oddero Barolo,4.0,5352,60.3712,78.6669,0,80
Pio Cesare Barolo,4.2,19440,59.9886,73.6743,1.33954,80
Giant Steps Pinot Noir,3.9,2108,36.9111,9.19767,7.59711,50.8572
Pieropan Soave Classico,3.8,13993,28.2992,0,57.183,
Château La Nerthe ChâteauNeuf-Du-Pape,4.2,17944,80,34.9507,4.83932,42.5493
Château Brown Pessac-Léognan,4.0,6071,71.672,72.6226,3.29794,71.9919
Round Pond Estate Sauvignon Blanc,4.0,1863,39.5443,1.20156,64.3137,
Querciabella Chianti Classico,3.9,9416,43.4802,54.287,3.53853,61.9233
San Giusto A Rentennano Chianti Classico,3.8,3587,46.1114,54.9963,3.29467,56.4585
Domaine De La Charbonnière Châteauneuf-Du-Pape,4.1,1813,80,37.653,7.30415,41.3962
Novelty Hill Cabernet Sauvignon,3.8,1698,63.5234,57.5131,4.48312,63.2342
Glen Carlou Chardonnay,3.9,3414,60.8822,14.8668,52.291,
Château Lafaurie-Peyraguey Sauternes (Premier Grand Cru Classé),4.2,5517,80,80,72.3093,
Beronia Rioja Reserva,4.0,42098,62.4844,58.1264,5.87874,57.8984
Domaine Des Baumard Savennières Clos Du Papillon,4.0,2217,22.9782,9.78745,80,
Marqués De Cáceres Rioja Reserva,3.8,26567,63.2319,61.7492,4.6595,59.6644
Schloss Gobelsburg Grüner Veltliner,3.8,4291,17.0116,0.514363,65.8912,
Orin Swift Machete,4.4,20206,80,51.861,8.48494,59.9905
Gini Soave Classico,3.7,3154,28.7152,1.16166,54.7913,
Château Prieuré-Lichine Margaux (Grand Cru Classé),4.2,17314,59.2486,60.194,4.25495,68.9521
Turnbull Cabernet Sauvignon,4.2,7828,80,51.0048,1.8999,50.4022
Le Vieux Donjon Châteauneuf-Du-Pape,4.2,5971,80,37.9516,8.45164,41.2067
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé),4.6,34341,64.9316,67.8447,6.74873,67.6734
Château Thivin Brouilly Reverdon,3.8,1618,1.6246,12.0827,8.56325,77.5975
Fratelli Revello Barolo,4.0,2112,60.5635,76.5808,0,80
Juan Gil Jumilla Blue Label,4.1,17737,67.6084,39.8219,15.6412,40.601
Carol Shelton Coquille Blanc,4.0,424,64.4783,19.8256,22.3672,
San Felice Campogiovanni Brunello Di Montalcino,4.2,15694,45.7211,53.5735,7.22582,60.7503
Montecillo Rioja Gran Reserva,3.9,23844,61.8234,57.5186,4.01831,59.1649
Southern Right Sauvignon Blanc,3.8,4321,28.9833,0.711417,64.8331,
Zenato Amarone Della Valpolicella Classico,4.4,38621,80,20.9347,49.0026,20.055
Damilano Barolo Lecinquevigne,4.1,8606,62.5984,74.7468,1.60706,80
Roederer Estate Brut,3.9,6315,58.0493,49.6813,62.5176,
Schiavenza Barolo Prapò,4.2,1134,58.5568,76.5042,7.66564,79.1187
A To Z Wineworks Chardonnay,3.6,2065,51.6873,0,57.9105,
Elk Cove Pinot Gris,3.9,2849,38.8757,11.9596,31.2887,
Bernard Baudry Chinon Rouge,3.6,1599,,,,
Punset Barbaresco,4.0,1079,62.4142,72.6928,1.91726,80
Justin Isosceles,4.5,15672,80,57.1731,4.53388,62.1726
Collosorbo Brunello Di Montalcino,4.2,6987,46.8756,53.2624,7.04592,59.2556
Paul Hobbs Pinot Noir,4.3,6035,44.0588,18.0024,9.12454,51.8498
Château Mont-Redon ChâteauNeuf-Du-Pape,4.2,18927,80,35.0835,3.39158,41.3104
Bosquet Des Papes Châteauneuf-Du-Pape (Cuvée Tradition),4.1,5691,80,39.1095,2.31615,43.3417
Viticcio Chianti Classico Riserva,3.9,2644,45.8017,55.3127,0,63.92
Ciacci Piccolomini D'Aragona Brunello Di Montalcino,4.2,9234,43.9028,53.2571,4.22089,60.6869
Penner-Ash Pinot Noir,4.2,6280,22.419,18.7278,3.29421,60.6244
Dalla Valle Cabernet Sauvignon,4.5,1998,80,54.4225,9.31493,50.0979
Feudi Di San Gregorio Falanghina,3.7,13267,59.4215,0,36.7642,
Orin Swift Abstract,4.2,32859,80,50.0786,9.57539,60.1899
Feudi Di San Gregorio Fiano Di Avellino,3.7,6685,57.2901,3.4677,33.4535,
Babich Sauvignon Blanc,3.9,8484,29.0433,0,75.4454,
Limerick Lane Zinfandel,4.1,1500,80,30.6511,24.7699,15.1626
Vincent Girardin Gevrey-Chambertin Vieilles Vignes,4.2,502,37.2722,30.9057,9.57348,74.1013
Benanti Etna Rosso,3.7,4486,69.0578,40.5774,17.7923,33.7842
Travaglini Gattinara,4.0,22767,59.5181,75.4651,0,80
Barnard Griffin Merlot,3.8,308,60.2757,32.7639,0,34.6992
Domaine Les Pallières Gigondas Terrasse Du Diable,3.9,2660,62.1507,48.0185,6.8344,51.7917
Kono Sauvignon Blanc,3.9,12946,28.0745,0,76.4286,
Mayacamas Cabernet Sauvignon,4.3,4280,78.3157,55.9493,1.64046,53.5796
Kim Crawford Sauvignon Blanc,4.0,60947,29.4322,0,76.9314,
Groth Cabernet Sauvignon,4.2,14054,80,47.8946,2.91098,49.527
Roco Pinot Noir,4.1,89,16.8731,14.7463,0,64.8918
Château D'Agassac Haut-Médoc,3.8,5299,73.9653,74.0868,4.91905,71.3378
Paul Jaboulet Aîné Crozes-Hermitage Les Jalets,3.8,10608,61.7718,44.3986,0.376995,42.7981
Castello Di Monsanto Chianti Classico Riserva,3.9,11887,43.5371,54.7171,0.0957175,62.8365
Primus The Blend,3.8,11562,80,50.4259,6.9649,43.3036
Continuum Napa Valley Proprietary Red,4.6,18,80,67.9902,0,66.8137
Paul Autard Châteauneuf-Du-Pape,4.2,1701,80,36.0249,4.92683,42.585
Favia Cabernet Sauvignon,4.6,264,80,51.9242,0,51.8737
Tait The Ball Buster,3.9,4675,,,,
Gini Soave Classico,3.7,3154,28.7152,1.16166,54.7913,
Domaine Tempier Bandol Rosé,4.2,5110,34.7527,3.00183,62.4367,
Altamura Cabernet Sauvignon,4.5,4653,80,47.7883,9.82961,48.4167
Château D'Yquem Sauternes,4.7,36724,80,80,73.7813,
Capezzana Carmignano Villa Di Capezzana,3.9,5159,48.7618,44.1426,9.5018,44.7439
Novy Syrah,3.8,75,72.2428,62.5072,0,40.8077
Paul Hobbs Chardonnay,4.2,1709,80,34.3195,44.6971,
Byron Pinot Noir,3.8,1078,39.0079,15.2993,0.423918,52.3594
Sebastiani Chardonnay,3.7,2961,80,35.2909,41.8845,
Suavia Soave Classico,3.8,2842,27.7862,1.38991,57.2657,
Leonetti Cabernet Sauvignon,4.5,2624,64.1064,59.3975,3.2126,62.4859
La Serena Brunello Di Montalcino,4.2,4052,47.132,56.7405,2.90295,60.2627
Saxum James Berry Vineyard,4.6,1477,80,54.7837,8.29725,53.4185
Failla Chardonnay,4.0,1589,80,29.5421,47.2579,
Merry Edwards Sauvignon Blanc,4.4,7195,40.8008,6.42048,63.4012,
Domaine De L'Olivette Bandol Rouge,3.8,1414,,,,
Château De Pibarnon Bandol,4.1,10855,,,,
Tenuta Di Trinoro Toscana Le Cupole Rosso,4.1,9865,50.5716,40.5773,12.9601,42.3026
E. Guigal Hermitage,4.1,6172,80,65.6644,2.9659,51.8541
Clos Du Mont-Olivet Châteauneuf-Du-Pape,4.0,6149,80,40.025,6.03575,42.8718
Tenshen White,3.8,1461,63.8408,25.7872,23.5773,
S. Anderson Cabernet Sauvignon,4.1,50,80,54.9309,0,58.9309
Domaine De Chevalier Pessac-Léognan (Grand Cru Classé De Graves),4.2,19082,68.628,72.0943,5.38244,71.7187
Ondarre Rioja Reserva,3.8,20834,61.4475,58.0883,4.14654,58.0176
Spy Valley Sauvignon Blanc,4.0,13583,29.374,0,74.9669,
